1493901764492	13326854564	16193	4743
1493910704492	13426854534	73434	2809
1493888804492	13626854565	81858	15477
1493909204492	13726854561	30144	3965
1493900564492	13926854564	79050	56108
1493887604492	13826854534	96411	4914
1493884124492	13726854569	37707	55218
1493909504493	13226854545	98537	8529
1493909744493	13526854569	44872	99132
1493887364493	13626854545	88181	57680
1493898884493	13526854555	37478	7935
1493899784493	13532434342	27011	88622
1493884064493	13776854556	69130	14111
1493909444493	13426854544	9424	7944
1493881124493	13726455555	60670	9896
1493888144495	13026854539	90589	20091
1493878244495	13245546774	10157	70072
1493890424495	13685456946	54542	92281
1493886644496	13656853434	78754	6029
1493898584496	13026832435	28938	57137
1493895164496	13026854539	13804	45769
1493883644496	13026324344	64352	8799
1493896064496	13368545391	96531	57707
1493883464496	13026855696	50270	51114
1493876624496	13435545456	42725	7474
1493895764496	13434354354	1292	44650
1493906624496	13324234355	36891	66919
1493881244496	13554654765	33422	3859
1493894684496	13734546757	18356	95838
1493894564496	13335435466	40851	54767
1493900864496	13432436546	52265	9739
1493907224497	13943354354	83598	77744
1493895044497	13677878785	1493	71046
1493904044497	13826852343	8337	10934
1493881724497	13026854539	60948	1681
1493887964497	13626854564	52019	92273
1493901164497	13026854534	84997	36689
1493889164497	13232435435	99434	16073
1493888504497	13534543546	15049	2980
1493910284497	13434343444	37073	191
1493891024497	13789654643	6593	93537
1493880044497	13212432434	39299	49042
1493902484497	13226854569	41811	42073
1493890124498	13435435646	9565	69941
1493905724498	14324354354	69444	72664
1493899724498	13743543546	82207	11035
1493904884498	13726854523	34207	32098
1493885624498	13324325434	12683	2862
1493909864498	13026854539	11500	9944
1493893484498	13776854556	77444	5137
